"TripType","VisitNumber","Weekday","Upc","ScanCount","DepartmentDescription","FinelineNumber"
6,17,"Friday",2610000575,1,"CANDY, TOBACCO, COOKIES",8012
6,17,"Friday",1200004300,1,"DSD GROCERY",9501
6,17,"Friday",3170004855,1,"CANDY, TOBACCO, COOKIES",8430
42,19,"Friday",7675335744,1,"IMPULSE MERCHANDISE",8904
42,19,"Friday",61156653747,1,"JEWELRY AND SUNGLASSES",556
42,19,"Friday",88743955560,1,"MENS WEAR",144
42,19,"Friday",692656840005,1,"FABRICS AND CRAFTS",397
42,19,"Friday",7675335744,1,"IMPULSE MERCHANDISE",8904
42,19,"Friday",695334428094,1,"ACCESSORIES",122
42,19,"Friday",88530637205,1,"MENS WEAR",5201
42,19,"Friday",88309608561,1,"MENS WEAR",5661
42,19,"Friday",3181070312,1,"HOME MANAGEMENT",8124
7,20,"Friday",7192191720,1,"FROZEN FOODS",9117
7,20,"Friday",68113106754,2,"SERVICE DELI",4010
9,23,"Friday",4011,1,"PRODUCE",5501
9,23,"Friday",692249579995,1,"HOME MANAGEMENT",3005
8,25,"Friday",7874207120,1,"INFANT CONSUMABLE HARDLINES",9012
8,25,"Friday",1590000097,1,"PRE PACKED DELI",7501
8,25,"Friday",7874208815,1,"INFANT CONSUMABLE HARDLINES",222
39,26,"Friday",89470001034,2,"DAIRY",1450
39,26,"Friday",84943400209,1,"COOK AND DINE",2072
39,26,"Friday",3663200828,1,"FROZEN FOODS",1850
39,26,"Friday",81829001273,3,"DAIRY",1450
39,26,"Friday",89470001006,1,"DAIRY",1450
39,26,"Friday",79108330121,1,"PHARMACY OTC",535
39,26,"Friday",4011,1,"PRODUCE",5501
39,26,"Friday",7874202251,1,"FROZEN FOODS",2003
39,26,"Friday",4009450167,1,"COOK AND DINE",579
25,28,"Friday",880552311919,1,"LADIESWEAR",313
25,28,"Friday",80859474194,1,"LADIESWEAR",4447
25,28,"Friday",4900003661,1,"DSD GROCERY",9538
25,28,"Friday",9933894190,1,"LADIESWEAR",1180
25,28,"Friday",2430004350,1,"COMM BREAD",3709
25,28,"Friday",7874298806,1,"BAKERY",2010
25,28,"Friday",7874298808,1,"BAKERY",2010
25,28,"Friday",4900001463,1,"DSD GROCERY",9538
8,29,"Friday",1200001311,1,"DSD GROCERY",9205
9,30,"Friday",9933894219,1,"LADIESWEAR",1180
8,31,"Friday",7874298393,1,"BAKERY",5024
8,31,"Friday",71514111356,1,"DAIRY",9020
8,32,"Friday",3400000246,1,"IMPULSE MERCHANDISE",100
8,33,"Friday",4178900743,2,"GROCERY DRY GOODS",3114
8,33,"Friday",61126911357,1,"DSD GROCERY",3467
8,40,"Friday",4900001801,1,"DSD GROCERY",9546
8,40,"Friday",2560000134,2,"IMPULSE MERCHANDISE",611
8,41,"Friday",7618316372,1,"DSD GROCERY",3054
8,41,"Friday",7066208720,2,"GROCERY DRY GOODS",3114
8,42,"Friday",4000049483,1,"IMPULSE MERCHANDISE",115
38,43,"Friday",7874235186,1,"DAIRY",1508
38,43,"Friday",2610000575,1,"CANDY, TOBACCO, COOKIES",8012
38,43,"Friday",3800057608,1,"GROCERY DRY GOODS",3600
38,43,"Friday",7962160010,1,"PRE PACKED DELI",7204
8,45,"Friday",4610000113,1,"DAIRY",7960
8,45,"Friday",2898978601,1,"FROZEN FOODS",1908
8,45,"Friday",930000038,1,"GROCERY DRY GOODS",2502
8,45,"Friday",7343509330,1,"COMM BREAD",3791
35,47,"Friday",8939615297,2,"DSD GROCERY",3458
35,47,"Friday",4119691401,2,"GROCERY DRY GOODS",3108
35,47,"Friday",3400037600,1,"IMPULSE MERCHANDISE",125
15,49,"Friday",4011,1,"PRODUCE",5501
15,49,"Friday",2200001596,1,"IMPULSE MERCHANDISE",110
15,49,"Friday",7464102712,1,"PRODUCE",5906
15,49,"Friday",7464100287,1,"PRODUCE",5964
15,49,"Friday",1786980439,1,"SERVICE DELI",6036
9,50,"Friday",3825775410,1,"MENS WEAR",8218
8,51,"Friday",84105800524,1,"PERSONAL CARE",1406
8,51,"Friday",1204404003,1,"PERSONAL CARE",109
8,53,"Friday",4016,1,"PRODUCE",1201
8,54,"Friday",2430078116,1,"COMM BREAD",2286
15,55,"Friday",87458603507,5,"IMPULSE MERCHANDISE",8023
15,55,"Friday",7874201839,1,"HOUSEHOLD PAPER GOODS",5020
15,55,"Friday",1090008031,1,"HOUSEHOLD PAPER GOODS",6640
15,55,"Friday",87458603516,1,"IMPULSE MERCHANDISE",8023
15,55,"Friday",7874202400,1,"HOUSEHOLD PAPER GOODS",5010
15,55,"Friday",1117932451,2,"CELEBRATION",140
8,56,"Friday",2840043393,1,"IMPULSE MERCHANDISE",808
8,56,"Friday",4900004086,1,"DSD GROCERY",9546
8,57,"Friday",9870,1,"BAKERY",1026
26,61,"Friday",1164633541,1,"HARDWARE",1101
26,61,"Friday",7535314088,1,"HARDWARE",5525
26,61,"Friday",7535309226,5,"HARDWARE",5525
26,61,"Friday",36382420220,1,"PHARMACY OTC",1300
26,61,"Friday",7535309202,1,"HARDWARE",5525
26,61,"Friday",7535309202,1,"HARDWARE",5525
26,61,"Friday",7003030410,1,"PHARMACY OTC",1101
26,61,"Friday",3700000338,1,"PERSONAL CARE",211
36,63,"Friday",7976503128,1,"DSD GROCERY",9206
36,63,"Friday",1750020722,1,"HOUSEHOLD CHEMICALS/SUPP",1210
36,63,"Friday",1700006809,1,"PERSONAL CARE",55
36,63,"Friday",1750020942,1,"HOUSEHOLD CHEMICALS/SUPP",1210
36,63,"Friday",1910010992,1,"BEAUTY",4010
9,68,"Friday",4282560278,1,"MENS WEAR",8225
20,69,"Friday",82720410582,1,"AUTOMOTIVE",9002
20,69,"Friday",7480851084,1,"BOOKS AND MAGAZINES",19
20,69,"Friday",7874210460,1,"AUTOMOTIVE",2500
20,69,"Friday",7148601319,1,"BOOKS AND MAGAZINES",324
7,72,"Friday",1200000131,1,"DSD GROCERY",9547
7,72,"Friday",22495500000,1,"SERVICE DELI",4041
7,72,"Friday",2840043618,1,"IMPULSE MERCHANDISE",808
8,74,"Friday",2430078116,2,"COMM BREAD",2286
7,76,"Friday",1312001036,1,"FROZEN FOODS",1801
7,76,"Friday",7539100261,1,"SEAFOOD",1053
7,76,"Friday",68113132894,1,"PRODUCE",7002
7,76,"Friday",3151,1,"PRODUCE",7801
39,79,"Friday",4000049570,1,"CANDY, TOBACCO, COOKIES",224
39,79,"Friday",7874236711,1,"GROCERY DRY GOODS",3557
39,79,"Friday",3800021441,1,"GROCERY DRY GOODS",3557
39,79,"Friday",1600026460,1,"GROCERY DRY GOODS",3554
39,79,"Friday",980000071,1,"CANDY, TOBACCO, COOKIES",85
39,79,"Friday",4000034759,1,"CANDY, TOBACCO, COOKIES",224
39,79,"Friday",2200000512,1,"IMPULSE MERCHANDISE",135
39,79,"Friday",694147116161,2,"OFFICE SUPPLIES",5806
9,81,"Friday",71441514160,1,"IMPULSE MERCHANDISE",8296
36,83,"Friday",7050129797,1,"IMPULSE MERCHANDISE",323
36,83,"Friday",85922000108,1,"PERSONAL CARE",6105
36,83,"Friday",63216911176,1,"PERSONAL CARE",6105
36,83,"Friday",3600036926,2,"PERSONAL CARE",9103
36,83,"Friday",3700000496,1,"PERSONAL CARE",9101
36,83,"Friday",68113176946,1,"PHARMACY OTC",2306
36,83,"Friday",4460001665,1,"PERSONAL CARE",9106
36,83,"Friday",7704311583,1,"PERSONAL CARE",9107
36,83,"Friday",18456000004,1,"PERSONAL CARE",6103
9,84,"Friday",4316875210,1,"HARDWARE",4513
9,84,"Friday",4613510253,1,"HARDWARE",4509
8,85,"Friday",4000000432,1,"IMPULSE MERCHANDISE",115
8,85,"Friday",4000042431,1,"IMPULSE MERCHANDISE",100
37,86,"Friday",7225001102,1,"COMM BREAD",3761
37,86,"Friday",7464100146,1,"PRODUCE",5930
37,86,"Friday",75166647006,2,"PRODUCE",7841
37,86,"Friday",75166647006,1,"PRODUCE",7841
37,86,"Friday",3000006403,1,"GROCERY DRY GOODS",3555
37,86,"Friday",8680000522,1,"BEAUTY",2105
37,86,"Friday",3338365301,1,"PRODUCE",7602
37,86,"Friday",71722616151,1,"PERSONAL CARE",5018
37,86,"Friday",7073405372,1,"GROCERY DRY GOODS",3352
37,86,"Friday",4046,1,"PRODUCE",5620
37,86,"Friday",4062,1,"PRODUCE",8104
37,86,"Friday",2529360102,2,"DAIRY",1511
37,86,"Friday",7092047449,1,"GROCERY DRY GOODS",3401
37,86,"Friday",7874235255,1,"GROCERY DRY GOODS",2456
37,86,"Friday",1450001463,1,"FROZEN FOODS",3003
37,86,"Friday",7874201846,1,"HOUSEHOLD PAPER GOODS",265
37,86,"Friday",7874235189,1,"DAIRY",1508
37,86,"Friday",3107,1,"PRODUCE",103
37,86,"Friday",7874237389,1,"FROZEN FOODS",1752
37,86,"Friday",7146410017,1,"PRODUCE",7652
37,86,"Friday",4011,1,"PRODUCE",5501
